One unit of length is 1e-10 meters
One unit of velocity is 997.765 meters/second
One unit of time is 1.00224e-13 seconds
One unit of mass is 1.66054e-27 kg
One unit of temperature is 119.735 K
One unit of pressure is 1.65313e+09 Pa
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[0.262628, 0.853357, 0.545736]
[0.226656, 0.777157, 0.57745]
[0.226656, 0.777157, 0.57745]
[0.163228, 0.8723, 0.482307]
[1.02084, 0.45935, 0.1645]
[1.01658, 0.45935, 0.177271]
[1.01658, 0.45935, 0.177271]
[1.01233, 0.472122, 0.177271]
[1.01233, 0.472122, 0.177271]
[1.04404, 0.375323, 0.120701]
[1.10061, -0.0411806, 0.177271]
[1.10061, -0.0411806, 0.177271]
[0.871089, -0.429275, 0.841289]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[0.226656, -1.00767, 0.507849]
[0.635349, -0.639207, 0.602992]
[0.635349, -0.639207, 0.602992]
[0.603635, -0.575779, 0.571278]
[1.01233, -0.467865, 0.190042]
[1.01233, -0.467865, 0.190042]
[1.01233, -0.467865, 0.190042]
[1.01233, -0.467865, 0.190042]
[1.01233, -0.467865, 0.190042]
[1.13919, -0.15597, 0.501937]
[0.814519, 0.316855, 0.177271]
[0.814519, 0.312598, 0.190042]
[0.489853, 0.472825, 0.481339]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-0.213751, -0.0163253, -3.20924e-17]
[-0.213751, -0.0163253, -3.20924e-17]
[-0.213751, -0.0163253, -3.20924e-17]
[0.194942, -0.0163253, 0.33675]
[1.08001, -0.492704, 2.60902e-15]
[1.08001, -0.492704, 2.60902e-15]
[1.0483, -0.429275, -0.0317143]
[1.01233, -0.353075, 2.61596e-15]
[1.01233, -0.353075, 2.61596e-15]
[1.04404, -0.416504, -0.0317143]
[1.10061, -0.513302, 2.62984e-15]
[1.10061, -0.513302, 2.62984e-15]
[0.839375, -0.513302, 0.893602]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[0.226656, 0.424082, 0.57745]
[0.226656, 0.424082, 0.57745]
[0.226656, 0.424082, 0.57745]
[0.194942, 0.455796, 0.514021]
[1.08427, -0.0205824, 0.1645]
[1.08001, -0.0205824, 0.177271]
[1.0483, 0.0428463, 0.145557]
[1.01233, 0.119046, 0.177271]
[1.01233, 0.119046, 0.177271]
[1.04404, 0.0556176, 0.145557]
[1.10061, -0.0411806, 0.177271]
[1.10061, -0.0411806, 0.177271]
[0.839375, -0.513302, 0.893602]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[0.635349, -0.0480396, 0.602992]
[0.635349, -0.0480396, 0.602992]
[0.635349, -0.0480396, 0.602992]
[0.603635, 0.0153891, 0.571278]
[1.01658, 0.110532, 0.190042]
[1.01658, 0.110532, 0.190042]
[1.01658, 0.110532, 0.190042]
[1.01233, 0.123303, 0.190042]
[1.01233, 0.123303, 0.190042]
[1.13919, -0.00355397, 0.0631851]
[0.814519, 0.312598, 0.190042]
[0.814519, 0.312598, 0.190042]
[0.489853, 0.460053, 0.485596]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-0.249722, -0.00972571, -0.0634287]
[-0.281437, -0.04144, -9.71445e-17]
[-0.281437, -0.04144, -9.71445e-17]
[0.127256, 0.053703, 0.368464]
[1.01233, -0.327533, 2.60902e-15]
[1.01233, -0.327533, 2.60902e-15]
[1.01233, -0.327533, 2.60902e-15]
[1.01233, -0.327533, 2.60902e-15]
[1.01233, -0.327533, 2.60902e-15]
[1.13919, 0.0177315, 0.33675]
[0.814519, 0.806005, 5.30131e-15]
[0.814519, 0.806005, 5.30131e-15]
[0.489853, 0.481339, 0.472825]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
[-nan, -nan, -nan]
